Date,Close,High,Low,Open,Volume,Year,Day,Month,SMA50,SMA200,Daily Returns,Volatility_20,Cumulative Return
2021-03-19,222.31858825683594,224.36466730643974,221.35345440675508,222.96522616917724,46430700,2021,19,3,224.11226776123047,207.4380372619629,-0.0016036839985325013,0.017340000394395226,1.2685576963345482
2021-03-22,227.76193237304688,228.6401929449053,222.11589371244168,222.24136581989566,30127000,2021,22,3,224.46360778808594,207.700581741333,0.02448443091912078,0.017287591383022244,1.2996176096173704
2021-03-23,229.2964630126953,232.64547808309152,228.80425013420336,229.20960451533284,31638400,2021,23,3,224.82002502441406,207.95029594421388,0.006737432474602789,0.017286414381786932,1.308373695504972
2021-03-24,227.2504119873047,229.70184536987526,227.1152938438051,229.55708118997325,25620100,2021,24,3,225.1765414428711,208.18422286987305,-0.008923168715765817,0.017392074255655973,1.2966988562767112
2021-03-25,224.23916625976562,228.6787872880025,223.49602389436822,227.09596856717204,34061900,2021,25,3,225.52213439941406,208.3961954498291,-0.013250782259119909,0.01677771215211755,1.2795165820765386
2021-03-26,228.23484802246094,228.45683941055526,223.47674522544813,223.47674522544813,25479900,2021,26,3,225.9204867553711,208.59442169189452,0.01781883972074083,0.01692250373037925,1.3023160829725906
2021-03-29,227.0380859375,228.54369234584786,223.79523570153017,228.3410077631364,25227500,2021,29,3,226.35884155273436,208.83729904174805,-0.005243555466355243,0.016388102797833898,1.2954873163567973
2021-03-30,223.76625061035156,225.69651797907827,223.04240034707905,225.38766813123175,24792000,2021,30,3,226.73888488769532,209.0567755126953,-0.014410953623213318,0.016450620891827403,1.2768181087213184
2021-03-31,227.54962158203125,230.7635192059559,224.2874643182065,224.78933806497363,43623500,2021,31,3,227.1216064453125,209.2894200897217,0.016907692564718912,0.01561078867662443,1.2984061567646443
2021-04-01,233.900146484375,234.3730525487853,229.75006883486253,230.15542320154458,30338000,2021,1,4,227.47919708251953,209.53163749694824,0.02790830790309351,0.016585972985699644,1.3346424755709043
2021-04-05,240.3858642578125,241.24483268507507,234.23795240760288,234.2958580748924,36910600,2021,5,4,227.95437072753907,209.80307411193849,0.027728575081806373,0.01699694467854369,1.3716502096621401
2021-04-06,239.21804809570312,240.70434756750984,238.27222115909885,238.976764662004,22931900,2021,6,4,228.38731384277344,210.0587074279785,-0.004858089995079307,0.0163395536311175,1.3649866095018321
2021-04-07,241.1869354248047,242.18102208001608,238.57143102287802,239.1698092779601,22719800,2021,7,4,228.79069091796876,210.3297898864746,0.008230513311077159,0.015402689179274643,1.376221149960779
2021-04-08,244.4201202392578,245.2790886808402,243.21370306137402,243.95686016644666,23625200,2021,8,4,229.2048077392578,210.59107406616212,0.01340530658826311,0.015393600915307797,1.3946698164092552
2021-04-09,246.9294891357422,247.0646072789531,243.63837933645223,244.05337980246674,24326800,2021,9,4,229.65813507080077,210.85848609924315,0.010266621643210128,0.015009262771190154,1.4089883637315344
2021-04-12,246.98736572265625,248.6860104393037,245.74233501767978,245.82920824197842,27148700,2021,12,4,229.9964926147461,211.1456847381592,0.00023438507533724007,0.014862987005889413,1.409318609575317
2021-04-13,249.47747802734375,250.15308360820268,247.87535205425016,248.29038205860465,23837500,2021,13,4,230.51888244628907,211.43335792541504,0.01008194203538193,0.014787061767353738,1.4235272781064403
